Ensembl	Name	Biotype	GeneLength	SumExonLength
FBgn0035134	CG1231	null	1243	1243
FBgn0036465	Rpn12R	null	940	940
FBgn0037798	CG12817	null	1286	1060
FBgn0036467	CG12310	null	544	544
FBgn0037796	CG12814	null	18448	2507
FBgn0036466	CG18581	null	660	660
FBgn0036461	Zip71B	null	5695	2391
FBgn0037794	CG6254	null	2188	2006
FBgn0036460	CG5114	null	1652	1500
FBgn0035132	mthl10	null	10115	4166
FBgn0036463	Reck	null	12825	4268
FBgn0037792	TAF1B	null	4082	3504
FBgn0035131	mthl9	null	2488	2133
FBgn0036462	mRpL39	null	1686	1137
FBgn0061435	CG30270	null	629	573
FBgn0265487	mbl	null	162828	15094
FBgn0265499	asRNA:CR44368	null	2074	1608
FBgn0289444	lncRNA:CR46535	null	1997	1997
FBgn0047135	CG32276	null	1185	865
FBgn0023143	Uba1	null	5040	4343
FBgn0289443	lncRNA:CR46534	null	504	504
FBgn0289442	lncRNA:CR46533	null	353	353
FBgn0289441	lncRNA:CR46532	null	3102	3102
FBgn0289440	lncRNA:CR46531	null	573	573
FBgn0037788	CAH7	null	7845	2376
FBgn0036459	CG3349	null	2813	2408
FBgn0037786	Alp13	null	1553	1486
FBgn0036454	CG17839	null	77089	6089
FBgn0035122	mRpL17	null	1154	1092
FBgn0035124	ttm2	null	1513	1513
FBgn0037782	Npc2d	null	728	661
FBgn0036450	Tdrd3	null	2875	2644
FBgn0037783	Npc2c	null	885	708
FBgn0037780	ohgt	null	2329	2061
FBgn0035121	Tudor-SN	null	5338	3411
FBgn0037781	Fancl	null	1362	1248
FBgn0035120	wac	null	922	853
FBgn0036451	Helz	null	11155	8665
FBgn0265496	lncRNA:CR44365	null	2633	2633
FBgn0265498	asRNA:CR44367	null	1236	1178
FBgn0265497	lncRNA:CR44366	null	1591	1591
FBgn0023178	Pdf	null	680	680
FBgn0265467	lncRNA:CR44360	null	632	632
FBgn0266798	asRNA:CR45260	null	4902	4902
FBgn0023179	amon	null	16463	3991
FBgn0266797	lncRNA:CR45259	null	468	468
FBgn0265469	CG44362	null	324	324
FBgn0265468	lncRNA:CR44361	null	562	562
FBgn0266799	lncRNA:CR45261	null	319	319
FBgn0023177	Pp4-19C	null	2916	2213
FBgn0023174	Prosbeta2	null	1369	1034
FBgn0023175	Prosalpha7	null	1201	976
FBgn0023172	RhoGEF2	null	17464	8486
FBgn0023170	RpL39	null	579	288
FBgn0023171	rnh1	null	1327	1108
FBgn0035159	CG13896	null	1031	1031
FBgn0036487	Prp31	null	2039	1862
FBgn0035155	RabX6	null	1435	1286
FBgn0036486	Msh6	null	4330	4080
FBgn0035158	CG13895	null	2258	1945
FBgn0036489	CG7011	null	2753	1343
FBgn0035157	CG13894	null	6062	2193
FBgn0036488	CG6878	null	654	531
FBgn0035152	CG3386	null	2035	1780
FBgn0036483	CG12316	null	5427	4382
FBgn0035151	CG17129	null	2448	2379
FBgn0036482	CG13457	null	3439	3284
FBgn0035154	hiro	null	2017	1480
FBgn0036485	FucTA	null	7259	3338
FBgn0035153	ebd1	null	2665	2329
FBgn0036484	Pex3	null	2025	1906
FBgn0266790	lncRNA:CR45255	null	296	296
FBgn0035150	Rev1	null	3609	3244
FBgn0036481	CG16959	null	5444	2292
FBgn0266791	lncRNA:CR45256	null	562	562
FBgn0289439	lncRNA:CR46530	null	859	859
FBgn0036480	Cep135	null	11293	3570
FBgn0289438	lncRNA:CR46529	null	740	740
FBgn0266796	lncRNA:CR45258	null	597	597
FBgn0265464	Traf6	null	2788	2788
FBgn0266795	asRNA:CR45257	null	249	249
FBgn0023167	SmD3	null	1273	744
FBgn0047114	CG31142	null	746	644
FBgn0024491	Bin1	null	3409	3336
FBgn0035149	MED30	null	1103	1103
FBgn0035148	CG3402	null	1340	1035
FBgn0036479	CG13458	null	2817	2188
FBgn0035145	MED14	null	5994	5513
FBgn0036476	sstn	null	3897	2854
FBgn0035144	Kah	null	6451	2825
FBgn0035147	Gale	null	2757	1757
FBgn0035146	CG13893	null	4915	2198
FBgn0035141	Cypl	null	810	718
FBgn0035140	BORCS6	null	1297	1184
FBgn0036471	CG13460	null	677	677
FBgn0035143	Ppm1	null	1474	1422
FBgn0036474	Or71a	null	1541	1433
FBgn0035142	Hipk	null	38040	11604
FBgn0265470	lncRNA:CR44363	null	560	560
FBgn0036470	EAChm	null	789	789
FBgn0023169	AMPKalpha	null	3361	2853
FBgn0000477	DNaseII	null	1787	1228
FBgn0000479	dnc	null	167328	16683
FBgn0036428	Gbs-70E	null	10039	2846
FBgn0037759	CG8526	null	2182	2069
FBgn0037757	CG8516	null	4460	3515
FBgn0037758	CG9467	null	3258	3180
FBgn0037755	CG12945	null	3406	3095
FBgn0036427	CG4613	null	1931	1241
FBgn0037756	CG8507	null	1616	1384
FBgn0036426	CG9592	null	651	651
FBgn0037753	CG12947	null	2991	1695
FBgn0036421	CG13481	null	783	783
FBgn0037754	CG8500	null	4671	3500
FBgn0037751	topi	null	2823	2652
FBgn0013799	Deaf1	null	12513	3698
FBgn0036423	CG3919	null	2107	1406
FBgn0036422	CG3868	null	1957	1181
FBgn0037750	Whamy	null	2625	2184
FBgn0025777	homer	null	3966	3066
FBgn0025776	ind	null	1126	1126
FBgn0024432	Dlc90F	null	816	816
FBgn0000489	Pka-C3	null	28993	3091
FBgn0036417	CG7906	null	1638	1351
FBgn0037749	CG9471	null	1011	956
FBgn0036419	CG13482	null	540	540
FBgn0036414	nan	null	3400	2850
FBgn0037746	CG8478	null	2486	2281
FBgn0037747	Naa80	null	2194	1506
FBgn0036416	CG7924	null	1141	1079
FBgn0036415	CG7768	null	771	717
FBgn0037742	Rpt3R	null	1776	1452
FBgn0036410	CG8100	null	2807	2708
FBgn0037743	Alg12	null	2823	2527
FBgn0037741	Tti1	null	3599	3376
FBgn0036411	Sox21a	null	4638	2335
FBgn0000482	dor	null	3400	3161
FBgn0000499	dsh	null	2844	2844
FBgn0023130	a6	null	2275	2218
FBgn0025790	TBPH	null	3527	3222
FBgn0037779	CG12811	null	1546	1002
FBgn0036447	Mgat4b	null	1581	1581
FBgn0036446	Mgat4a	null	5676	4612
FBgn0037777	NdufAF4	null	947	770
FBgn0036449	bmm	null	9917	2437
FBgn0037778	mtTFB2	null	1687	1512
FBgn0036448	mop	null	6789	5961
FBgn0035112	CG13877	null	596	512
FBgn0036443	CG13471	null	929	929
FBgn0035111	Dis3l2	null	3771	3605
FBgn0036442	CG13473	null	584	584
FBgn0037773	CG5359	null	1506	1311
FBgn0035113	pyx	null	5138	4046
FBgn0037772	Spn85F	null	3152	2299
FBgn0035110	thoc7	null	1052	929
FBgn0036441	CG13476	null	694	694
FBgn0037770	Art4	null	3245	3071
FBgn0036440	CG17177	null	4366	4002
FBgn0000490	dpp	null	31452	5214
FBgn0000492	Dr	null	8859	2552
FBgn0025781	Cdc16	null	2923	2615
FBgn0035109	CG13876	null	1394	1337
FBgn0036439	CG13474	null	555	555
FBgn0036436	CG4914	null	3610	1657
FBgn0035104	CG13875	null	2613	2044
FBgn0037766	Teh1	null	42040	4539
FBgn0035107	mri	null	1979	1739
FBgn0036438	gdrd	null	616	616
FBgn0035106	rno	null	12556	11796
FBgn0036437	Dnaaf6	null	1075	964
FBgn0037764	CG9459	null	968	901
FBgn0035101	p130CAS	null	21634	4099
FBgn0037765	CG9458	null	964	900
FBgn0037762	eloF	null	998	933
FBgn0035103	Vdup1	null	2658	2151
FBgn0037763	CG16904	null	1052	980
FBgn0035102	CG7049	null	1117	1117
FBgn0036433	CG9628	null	5379	1179
FBgn0037760	FBXO11	null	5883	5638
FBgn0037761	CG8534	null	1193	990
FBgn0023129	aay	null	1529	1529
FBgn0266732	asRNA:CR45205	null	1313	1240
FBgn0266731	lncRNA:CR45204	null	1955	1955
FBgn0266734	CG45207	null	571	571
FBgn0266733	asRNA:CR45206	null	640	640
FBgn0266736	asRNA:CR45209	null	1705	1705
FBgn0266735	asRNA:CR45208	null	952	952
FBgn0037719	bocks	null	1535	1535
FBgn0266738	lncRNA:CR45211	null	261	261
FBgn0000439	Dfd	null	10593	2739
FBgn0266737	asRNA:CR45210	null	856	856
FBgn0037717	CG8301	null	5343	3094
FBgn0037718	P58IPK	null	2640	2217
FBgn0266739	lncRNA:CR45212	null	391	331
FBgn0037715	CG9399	null	2301	1410
FBgn0037716	Son	null	3184	3125
FBgn0037713	CG16790	null	1141	1028
FBgn0037714	CG9396	null	1210	681
FBgn0013750	Arf6	null	2990	2196
FBgn0013751	Awh	null	15487	2104
FBgn0037712	CG16789	null	2995	2734
FBgn0013753	Bgb	null	1242	1242
FBgn0037710	CG9393	null	2091	1589
FBgn0013755	Bro	null	744	744
FBgn0013756	Mgtor	null	8586	7780
FBgn0013759	CASK	null	39275	9545
FBgn0025739	pon	null	2795	2601
FBgn0266730	lncRNA:CR45203	null	701	612
FBgn0025720	Ate1	null	2425	1796
FBgn0266743	lncRNA:CR45216	null	635	572
FBgn0266742	lncRNA:CR45215	null	1023	1023
FBgn0265414	lncRNA:CR44326	null	790	790
FBgn0266745	CG45218	null	491	437
FBgn0265413	CG44325	null	8182	2751
FBgn0266744	lncRNA:CR45217	null	1467	779
FBgn0000447	Dhod	null	1526	1472
FBgn0265416	Neto	null	81380	8256
FBgn0266747	lncRNA:CR45220	null	497	497
FBgn0000448	Hr3	null	33354	10465
FBgn0037708	CG9386	null	1713	1652
FBgn0265418	lncRNA:CR44330	null	529	417
FBgn0266749	lncRNA:CR45222	null	850	356
FBgn0000449	dib	null	2260	1975
FBgn0037709	Bckdha	null	1992	1750
FBgn0265417	CG44329	null	705	595
FBgn0266748	lncRNA:CR45221	null	999	229
FBgn0037707	RnpS1	null	1714	1370
FBgn0265419	lncRNA:CR44331	null	1305	1245
FBgn0037705	mura	null	16182	7274
FBgn0037702	CG8176	null	11231	5116
FBgn0037703	Kdm3	null	4932	3186
FBgn0037700	CG8149	null	1210	1156
FBgn0013746	alien	null	3562	3235
FBgn0013749	Arf4	null	1159	930
FBgn0025726	unc-13	null	44508	22598
FBgn0025725	alphaCOP	null	4134	4078
FBgn0025724	beta'COP	null	3481	3066
FBgn0266741	asRNA:CR45214	null	3195	1360
FBgn0266740	asRNA:CR45213	null	1264	1264
FBgn0000442	Pkg21D	null	4646	2583
FBgn0000454	Dip-B	null	3389	2102
FBgn0266710	hog	null	670	611
FBgn0000455	Dip-C	null	1951	1951
FBgn0266711	EloC	null	1202	654
FBgn0000459	disco	null	6153	3247
FBgn0037739	CG12948	null	1578	1519
FBgn0266717	Bruce	null	19315	15702
FBgn0036406	CG13484	null	652	652
FBgn0037737	Pnn	null	1946	1847
FBgn0013770	CtsL1	null	7307	2066
FBgn0266719	stac	null	8063	4312
FBgn0013771	Cyp6a9	null	2017	1964
FBgn0036403	CG6661	null	1976	1976
FBgn0037736	side-VII	null	5968	4429
FBgn0013772	Cyp6a8	null	1840	1781
FBgn0036402	CG6650	null	3460	3132
FBgn0013773	Cyp6a22	null	2340	2165
FBgn0036405	CG6833	null	1264	1264
FBgn0037734	trbd	null	5042	3679
FBgn0037731	CG18542	null	1382	1263
FBgn0037730	CG9444	null	2850	2062
FBgn0000451	ect	null	11562	3741
FBgn0025742	mtm	null	2285	2230
FBgn0266721	gammaSnap2	null	1002	1002
FBgn0025741	PlexA	null	17207	10614
FBgn0266720	Snap24	null	1846	1846
FBgn0025740	PlexB	null	11301	7050
FBgn0266723	Trs31	null	783	666
FBgn0266722	Trs33	null	651	583
FBgn0266725	asRNA:CR45198	null	420	361
FBgn0266724	Trs20	null	632	575
FBgn0266727	lncRNA:CR45200	null	672	672
FBgn0266726	lncRNA:CR45199	null	651	651
FBgn0037728	cPges	null	1732	1120
FBgn0266729	asRNA:CR45202	null	456	388
FBgn0266728	lncRNA:CR45201	null	211	211
FBgn0037727	Nepl12	null	2256	2197
FBgn0037724	Fst	null	1177	1177
FBgn0037722	CG8319	null	1356	1295
FBgn0013762	Cdk5	null	1890	1604
FBgn0037723	SpdS	null	2033	1705
FBgn0013763	Idgf6	null	2730	1811
FBgn0037720	CG8312	null	33765	4218
FBgn0013764	Chi	null	2406	2246
FBgn0037721	CG9427	null	1774	961
FBgn0013765	cnn	null	11162	6196
FBgn0013767	Crz	null	863	654
FBgn0000463	Delta	null	23487	5278
FBgn0000464	Lar	null	145447	10337
FBgn0025743	mbt	null	4172	3269
FBgn0265445	lncRNA:CR44345	null	647	647
FBgn0266776	lncRNA:CR45241	null	387	387
FBgn0265444	lncRNA:CR44344	null	2241	1568
FBgn0266775	lncRNA:CR45240	null	1297	1297
FBgn0265447	lncRNA:CR44347	null	1938	1938
FBgn0266778	lncRNA:CR45243	null	425	425
FBgn0265446	lncRNA:CR44346	null	473	414
FBgn0266777	lncRNA:CR45242	null	872	872
FBgn0265449	lncRNA:CR44349	null	875	811
FBgn0265448	lncRNA:CR44348	null	3001	544
FBgn0013710	mt:tRNA:Tyr-GTA	null	66	66
FBgn0013717	not	null	3825	2989
FBgn0013718	nuf	null	42381	5594
FBgn0266772	lncRNA:CR45237	null	346	346
FBgn0266771	lncRNA:CR45236	null	815	533
FBgn0265443	lncRNA:CR44343	null	1002	1002
FBgn0266774	lncRNA:CR45239	null	593	593
FBgn0266773	lncRNA:CR45238	null	624	624
FBgn0266787	lncRNA:CR45252	null	511	511
FBgn0265455	CG44355	null	1157	977
FBgn0266786	lncRNA:CR45251	null	349	349
FBgn0265458	asRNA:CR44358	null	482	482
FBgn0266789	lncRNA:CR45254	null	509	509
FBgn0265457	lncRNA:CR44357	null	239347	2789
FBgn0266788	lncRNA:CR45253	null	567	567
FBgn0000404	CycA	null	6860	2919
FBgn0000405	CycB	null	3428	3047
FBgn0000406	Cyt-b5-r	null	1948	1557
FBgn0013700	mt:tRNA:Met-CAT	null	69	69
FBgn0013701	mt:tRNA:Asn-GTT	null	66	66
FBgn0013702	mt:tRNA:Pro-TGG	null	66	66
FBgn0013703	mt:tRNA:Gln-TTG	null	69	69
FBgn0013704	mt:tRNA:Arg-TCG	null	63	63
FBgn0013705	mt:tRNA:Ser-GCT	null	68	68
FBgn0013706	mt:tRNA:Ser-TGA	null	66	66
FBgn0013707	mt:tRNA:Thr-TGT	null	65	65
FBgn0013708	mt:tRNA:Val-TAC	null	72	72
FBgn0265450	lncRNA:CR44350	null	3575	3575
FBgn0266781	lncRNA:CR45246	null	458	458
FBgn0013709	mt:tRNA:Trp-TCA	null	66	66
FBgn0266780	lncRNA:CR45245	null	1348	1348
FBgn0265452	lncRNA:CR44352	null	6203	913
FBgn0266783	lncRNA:CR45248	null	775	775
FBgn0265451	asRNA:CR44351	null	1504	1504
FBgn0266782	lncRNA:CR45247	null	602	602
FBgn0265454	lncRNA:CR44354	null	471	471
FBgn0266785	lncRNA:CR45250	null	343	343
FBgn0265453	lncRNA:CR44353	null	334	334
FBgn0266784	lncRNA:CR45249	null	642	642
FBgn0265423	lncRNA:CR44335	null	863	863
FBgn0265422	lncRNA:CR44334	null	521	521
FBgn0266753	lncRNA:CR45226	null	2700	2265
FBgn0000411	D	null	3011	2935
FBgn0000412	D1	null	2572	1877
FBgn0265425	lncRNA:CR44337	null	503	503
FBgn0266756	btsz	null	71397	17286
FBgn0265424	lncRNA:TS14	null	701	701
FBgn0265427	lncRNA:CR44339	null	629	629
FBgn0266758	Esyt2	null	11831	3510
FBgn0000414	Dab	null	12450	9270
FBgn0265426	lncRNA:CR44338	null	853	853
FBgn0266757	mfr	null	6754	5847
FBgn0000416	Sap-r	null	5599	3527
FBgn0265429	CG44341	null	1001	946
FBgn0265428	asRNA:CR44340	null	613	613
FBgn0013732	sced	null	3299	3299
FBgn0013733	shot	null	77874	30414
FBgn0085500	CR40601	null	687	687
FBgn0085506	CG40635	null	318	264
FBgn0025716	Bap55	null	1611	1473
FBgn0085505	lncRNA:CR40629	null	885	885
FBgn0266750	lncRNA:CR45223	null	6576	6258
FBgn0025712	CG13920	null	2558	1292
FBgn0265421	lncRNA:CR44333	null	366	366
FBgn0266752	lncRNA:CR45225	null	1002	943
FBgn0265420	lncRNA:CR44332	null	409	409
FBgn0266751	lncRNA:CR45224	null	14499	829
FBgn0000422	Ddc	null	3824	2797
FBgn0266764	lncRNA:CR45229	null	263	263
FBgn0266766	lncRNA:CR45231	null	5443	5443
FBgn0266769	lncRNA:CR45234	null	761	761
FBgn0000426	SmF	null	467	467
FBgn0266768	lncRNA:CR45233	null	582	582
FBgn0000427	dec	null	6062	5748
FBgn0013720	pck	null	1660	1478
FBgn0013725	phyl	null	5002	1839
FBgn0025709	CNT2	null	3654	2115
FBgn0085512	RYa	null	420	420
FBgn0013726	pnut	null	3027	3027
FBgn0085511	lncRNA:CR40719	null	435	435
FBgn0025702	Srpk79D	null	10351	6233
FBgn0025700	CG5885	null	1110	1044
FBgn0266763	lncRNA:CR45228	null	787	787
FBgn0266762	CR45227	null	1272	1272
FBgn0085520	CR40801	null	1109	591
FBgn0086855	CG17078	null	3495	3132
FBgn0085523	Su(Ste):CR40820	null	1058	1058
FBgn0085521	CG40813	null	876	803
FBgn0086856	CG11555	null	931	931
FBgn0085540	lncRNA:CR40947	null	348	348
FBgn0086898	dgo	null	3848	3539
FBgn0086895	pea	null	3954	3898
FBgn0085569	CG41242	null	546	483
FBgn0266701	lncRNA:CR45191	null	1365	557
FBgn0266700	asRNA:CR45190	null	2133	1614
FBgn0266703	lncRNA:CR45193	null	1201	1129
FBgn0266702	asRNA:CR45192	null	701	649
FBgn0266705	asRNA:CR45195	null	950	889
FBgn0266707	lncRNA:CR45197	null	1470	1470
FBgn0266706	lncRNA:CR45196	null	2145	797
FBgn0266709	Zmynd10	null	1675	1497
FBgn0266708	Cep89	null	1598	1483
FBgn0085570	CR41243	null	1307	1307
FBgn0085582	lncRNA:CR41257	null	663	461
FBgn0085599	CG41284	null	7118	1023
FBgn0086690	Plp	null	28644	10794
FBgn0086691	UK114	null	911	610
FBgn0086693	iav	null	4179	3512
FBgn0085362	Vml	null	1960	1960
FBgn0085361	CG34332	null	467	412
FBgn0085360	CG34331	null	2819	985
FBgn0085366	CG34337	null	441	371
FBgn0086698	frtz	null	4550	3601
FBgn0086694	Bre1	null	4362	3993
FBgn0085369	Drgx	null	29370	2989
FBgn0086695	hd	null	2371	2255
FBgn0085367	CG34338	null	425	425
FBgn0060291	snoRNA:CD22b	null	81	81
FBgn0060292	snoRNA:CD22a	null	78	78
FBgn0085371	CG34342	null	7333	1813
FBgn0085370	Pde11	null	58318	7703
FBgn0085377	CG34348	null	4862	2190
FBgn0085376	CG34347	null	60592	6911
FBgn0085374	CG34345	null	2248	1777
FBgn0084049	CR41440	null	830	531
FBgn0060296	pain	null	6771	3041
FBgn0085380	dcma	null	27745	3223
FBgn0085384	CG34355	null	55309	5589
FBgn0085383	CG34354	null	93647	4609
FBgn0085382	CG34353	null	137878	5049
FBgn0085387	shakB	null	165980	18308
FBgn0085386	Gucy2d	null	66125	7704
FBgn0085385	bma	null	59179	6754
FBgn0264090	CG43759	null	98295	6340
FBgn0085391	trv	null	64126	9239
FBgn0085390	Dgk	null	51171	6968
FBgn0085395	Shawl	null	44848	6288
FBgn0085399	CG34370	null	52492	4425
FBgn0085398	ppk9	null	6492	1806
FBgn0085397	Fili	null	74230	5249
FBgn0085396	CG34367	null	6055	1769
FBgn0035299	CG11815	null	1010	1010
FBgn0035298	Scot	null	3663	2355
FBgn0035295	Cnb	null	2698	2453
FBgn0035294	Mfap1	null	1805	1682
FBgn0035290	dsb	null	16790	4674
FBgn0035293	CG5687	null	5471	3115
FBgn0035287	CG13937	null	6491	2000
FBgn0035283	CG12024	null	1883	1822
FBgn0035286	CG13924	null	1546	1513
FBgn0035285	CG12025	null	4062	2839
FBgn0035280	Cpr62Bb	null	2529	992
FBgn0035282	CNMa	null	4677	1900
FBgn0035281	Cpr62Bc	null	1804	1134
FBgn0265368	lncRNA:CR44309	null	1081	1035
FBgn0266699	asRNA:CR45189	null	2468	929
FBgn0265367	lncRNA:CR44308	null	490	427
FBgn0266698	lncRNA:CR45188	null	1201	1137
FBgn0265369	lncRNA:CR44310	null	1324	1324
FBgn0035258	CG13931	null	1452	1063
FBgn0036589	CG13067	null	637	564
FBgn0011289	TfIIA-L	null	5352	1645
FBgn0011288	Snap25	null	225026	2282
FBgn0035255	RabX5	null	1208	922
FBgn0036586	CG13070	null	809	568
FBgn0035254	CG7974	null	1457	1348
FBgn0036585	CG13071	null	508	434
FBgn0011286	RyR	null	27734	16405
FBgn0035257	CG12011	null	1796	1724
FBgn0036588	CG13068	null	520	450
FBgn0035256	CG13930	null	2321	2145
FBgn0036587	CG4950	null	2360	2360
FBgn0035251	Vta1	null	1469	1257
FBgn0011284	RpS4	null	2479	1449
FBgn0011283	Obp28a	null	575	575
FBgn0036581	MED10	null	694	638
FBgn0011282	Obp84a	null	1233	817
FBgn0035253	Srrm234	null	10818	6679
FBgn0036584	CG13054	null	1340	1340
FBgn0011281	Obp83a	null	3091	986
FBgn0035252	CG7970	null	1489	1281
FBgn0036583	CG13055	null	2796	2796
FBgn0266691	lncRNA:CR45181	null	626	568
FBgn0011280	Obp19d	null	1367	1101
FBgn0266690	lncRNA:CR45180	null	1075	966
FBgn0265362	CG44303	null	458	398
FBgn0266693	lncRNA:CR45183	null	682	682
FBgn0036580	PDCD-5	null	958	650
FBgn0266692	asRNA:CR45182	null	682	583
FBgn0265364	lncRNA:CR44305	null	1222	1222
FBgn0265363	asRNA:CR44304	null	722	576
FBgn0266694	lncRNA:CR45184	null	3471	2649
FBgn0265366	lncRNA:CR44307	null	300	300
FBgn0266697	lncRNA:CR45187	null	500	440
FBgn0265365	lncRNA:CR44306	null	801	801
FBgn0266696	Svil	null	121572	24343
FBgn0265379	lncRNA:CR44320	null	35019	1085
FBgn0265378	lncRNA:CR44319	null	873	873
FBgn0289323	IntS8	null	3668	3293
FBgn0035248	CG13919	null	517	517
FBgn0036579	Tmx3	null	2040	1862
FBgn0035247	Mettl2	null	1294	1240
FBgn0035249	CG17249	null	1534	1534
FBgn0035244	ABCB7	null	5000	2743
FBgn0036575	CG5157	null	1393	1393
FBgn0036574	elg1	null	4664	4200
FBgn0035243	CG13926	null	811	726
FBgn0011297	Alg3	null	4354	1704
FBgn0035246	CG13928	null	2587	2587
FBgn0036577	CG13073	null	4253	1500
FBgn0011296	l(2)efl	null	893	741
FBgn0035245	GC	null	6123	2685
FBgn0036576	CG5151	null	26900	7580
FBgn0035240	Ogdh2	null	14402	5663
FBgn0036571	Strump	null	4051	3814
FBgn0036570	IntS9	null	2196	2078
FBgn0011294	a5	null	833	776
FBgn0011293	a10	null	619	567
FBgn0035241	CG12105	null	5106	5106
FBgn0011291	Taf11	null	839	777
FBgn0265371	lncRNA:CR44312	null	553	553
FBgn0011290	Taf12	null	1305	1234
FBgn0265370	lncRNA:CR44311	null	334	334
FBgn0265373	CG44314	null	3604	2003
FBgn0265372	lncRNA:CR44313	null	601	601
FBgn0265375	lncRNA:CR44316	null	319	262
FBgn0265374	lncRNA:CR44315	null	301	301
FBgn0265377	lncRNA:CR44318	null	530	465
FBgn0265376	lncRNA:CR44317	null	3467	1360
FBgn0265346	lncRNA:CR44300	null	313	313
FBgn0266677	asRNA:CR45167	null	1168	1107
FBgn0265345	lncRNA:CR44299	null	2703	1523
FBgn0266676	lncRNA:CR45166	null	1345	1032
FBgn0265348	lncRNA:CR44302	null	497	497
FBgn0266679	lncRNA:CR45169	null	621	540
FBgn0265347	lncRNA:CR44301	null	299	299
FBgn0266678	lncRNA:CR45168	null	405	333
FBgn0265349	Sfp33A4	null	244	244
FBgn0035279	Cpr62Ba	null	7655	972
FBgn0035273	CG12020	null	1306	1242
FBgn0035272	mRpL46	null	909	909
FBgn0265340	lncRNA:CR44294	null	403	403
FBgn0266671	Sec6	null	2470	2405
FBgn0035271	CG2021	null	402	402
FBgn0266670	Sec5	null	3066	2885
FBgn0035270	CG13933	null	3339	3165
FBgn0265342	COX7CL	null	527	410
FBgn0266673	Sec10	null	2708	2380
FBgn0265341	lncRNA:CR44295	null	1162	1103
FBgn0266672	Sec8	null	4066	3363
FBgn0265344	lncRNA:CR44298	null	299	299
FBgn0266675	lncRNA:CR45165	null	335	316
FBgn0265343	asRNA:CR44297	null	353	353
FBgn0266674	Sec15	null	2927	2799
FBgn0266688	lncRNA:CR45178	null	347	262
FBgn0265356	tn	null	21601	6152
FBgn0266687	lncRNA:CR45177	null	495	440
FBgn0266689	lncRNA:CR45179	null	8630	1089
FBgn0035266	Gk2	null	7015	2844
FBgn0036597	CG4962	null	837	774
FBgn0035265	PIG-Wb	null	2254	2200
FBgn0036596	CG13045	null	1239	1182
FBgn0036599	CG13044	null	689	624
FBgn0035268	CG8001	null	3050	2687
FBgn0035267	CG13921	null	5484	5093
FBgn0036598	CG4982	null	575	512
FBgn0035262	CG18171	null	2538	2538
FBgn0036593	CG13048	null	1113	945
FBgn0036592	CG13049	null	799	736
FBgn0035264	Oseg4	null	4775	4131
FBgn0036595	CG13046	null	843	781
FBgn0035263	CG12035	null	1258	1258
FBgn0036594	CG13047	null	717	639
FBgn0266680	lncRNA:CR45170	null	1242	811
FBgn0265351	nac	null	1338	1225
FBgn0266682	lncRNA:CR45172	null	478	478
