	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
28SrRNA-Psi:CR41609	3.85738713554693e-09	-0.897638282370322	0.431	0.765	9.23149889279091e-05
Srr	4.18962602276166e-09	1.97845221933163	0.882	0.588	0.000100266129976732
BomS1	4.58036127830463e-09	1.16858431411125	0.98	1	0.000109617206112386
RNASEK	4.77715562848662e-09	-0.348575167777267	1	1	0.000114326888500942
Start1	4.85364917484939e-09	-0.366760917599304	0.922	0.922	0.000116157532052496
BomBc3	5.65436478204764e-09	1.6436901942188	0.941	0.863	0.000135320257963964
Tpc1	5.83542118022057e-09	1.32836391986904	0.922	0.941	0.000139653299685039
CG33199	6.59947439991176e-09	-0.528558363693286	0.922	0.98	0.000157938621338688
unk	7.50473284260378e-09	0.462812672542148	1	0.98	0.000179603266389194
FBti0019469	9.10593637074544e-09	2.59018020999218	0.863	0.725	0.00021792326922468
asRNA:CR44053	9.77163393529915e-09	1.91886323727459	0.922	0.902	0.000233854743339579
eIF2Bdelta	1.27285764058372e-08	1.0292891796818	0.863	0.784	0.000304620290544496
FBti0019754	1.30150179837803e-08	1.3932331289605	0.549	0.235	0.00031147541038783
Nplp2	1.39510426902303e-08	-0.385853278068131	1	1	0.000333876353662592
CG44004	1.54798627103741e-08	2.52973298000076	0.588	0.294	0.000370464074384674
ND-MWFE	1.62994856912924e-08	-0.327649298846013	1	1	0.000390079291564009
FBti0019051	1.92704159136171e-08	-0.996442180586811	0.549	0.804	0.000461179593644684
dgt2	2.50877941367438e-08	1.49782990899518	0.686	0.549	0.000600401089280552
CG2233	2.56663000910783e-08	-0.438616647808653	1	1	0.000614245893779687
CG5966	2.84748537368776e-08	1.41851088540586	0.922	0.765	0.000681460199630954
FBti0019050	2.88213735456907e-08	2.53957059790714	0.608	0.373	0.000689753111695469
CG5079	2.93270576568643e-08	1.76356933304991	0.902	0.882	0.000701855143844077
CG43783	3.17832939354516e-08	-0.803674936636121	0.922	0.98	0.000760637790463228
FBti0019178	3.36257142817017e-08	-1.09211820198843	0.353	0.569	0.000804730594189686
mRpL37	3.43491320192956e-08	-0.650850436377613	0.784	0.882	0.000822043427485782
gro	3.51673971546629e-08	-0.160950884146825	1	1	0.000841626148705393
RpS12	3.71360850529458e-08	0.627903553309988	1	1	0.000888740787487098
La	4.45355881564734e-08	1.08571690941838	0.961	0.882	0.00106582569576072
mRpL34	4.63736337141473e-08	-0.510615159261075	0.902	0.961	0.00110981380204697
Hsp68	4.8210736336877e-08	1.85638076111098	0.843	0.725	0.00115377934201414
Hsp70Ab	5.00640403958821e-08	2.4797802640291	0.686	0.588	0.00119813261475425
Tektin-C	5.13613387936168e-08	1.22173169540739	0.98	1	0.00122917956000884
Mocs1	5.65091064218545e-08	1.37934579213554	0.824	0.706	0.00135237593488782
CG10063	7.60459832006555e-08	1.84245872301352	0.49	0.098	0.00181993246995809
FBti0020075	7.99813543418612e-08	-0.925999418556223	0.529	0.804	0.00191411377210942
Uhg8	8.83010881998095e-08	1.38134918114691	0.824	0.765	0.00211322164279784
FBti0019059	9.85139761491171e-08	2.28648526521975	0.765	0.471	0.00235763647720067
His2Av	1.163680574387e-07	0.613183374427911	1	1	0.00278492035062296
AP-2mu	1.23070844912661e-07	-0.31802011496036	0.98	0.98	0.00294533146044979
Hsp27	1.28899762779924e-07	2.43421242660654	0.667	0.549	0.00308482912284914
CG17931	1.34052156196704e-07	-0.339325145121897	0.902	0.961	0.00320813620209952
P32	1.43778727868849e-07	1.00207283805901	0.941	0.961	0.0034409125153573
sr	1.48518881109385e-07	0.927548205651709	0.98	0.961	0.00355435386270981
FBti0019113	1.52785466560585e-07	2.77529371282531	0.608	0.333	0.00365646178572793
CG42392	1.54053659467949e-07	0.74408206646475	1	1	0.00368681217838695
TMS1	1.59331374755913e-07	-0.297873368674504	1	1	0.00381311846065851
Had1	1.66222654000809e-07	-0.730567822968055	0.863	1	0.00397804055554735
CG34200	1.74794618202284e-07	-0.374920974536946	1	1	0.00418318480281705
EMC1	1.82711646599711e-07	-0.325701081780228	0.961	0.961	0.00437265512642429
FBti0020205	2.0493865082011e-07	-1.70343597060101	0.176	0.51	0.00490459179142686
CG5697	2.05474775844847e-07	2.03464614280689	0.51	0.216	0.00491742233551888
FBti0019148	2.17931857926873e-07	-0.341666915679528	0.961	0.98	0.00521554522390593
CG11052	2.2143931861344e-07	2.37186566513727	0.706	0.294	0.00529948577305685
Cep97	2.28561297574827e-07	-0.582364219891178	0.961	1	0.00546992897356075
CG2017	2.29297304296382e-07	0.967057540333552	1	1	0.00548754308642102
Def	2.30159254483251e-07	-0.840710552476458	0.725	0.902	0.00550817127829315
lncRNA:CR44178	2.43174456702444e-07	-0.969626350956481	0.863	0.961	0.00581965109780288
lncRNA:CR44129	2.76432865996193e-07	1.52356195605701	0.863	0.843	0.00661559134902089
FBti0020178	2.95036234342923e-07	-1.34103691783507	0.333	0.588	0.00706080716029484
CG13248	3.27886921891758e-07	-0.620103102885427	0.961	1	0.00784698981471356
FBti0020127	3.46216528822123e-07	2.49523756698436	0.745	0.549	0.00828565396777104
VhaPPA1-1	3.52591245877535e-07	-0.338892101620505	1	1	0.00843821369634117
Ntf-2	3.88060631158889e-07	0.433638946695146	1	1	0.00928706702489453
Ran	3.90913590263059e-07	0.623043720546785	0.98	0.98	0.00935534404217552
RpS10a	4.2765242643794e-07	1.38760426915573	0.49	0.176	0.0102345778695128
CG34291	4.76116865573377e-07	1.32883646422954	0.863	0.588	0.0113944288269021
7B2	5.15417408923881e-07	-0.540017624885293	1	1	0.0123349694303663
sotv	5.31990869426602e-07	-0.584962500721156	0.98	1	0.0127316054871174
DNApol-zeta	5.69050561587277e-07	1.2809184979429	0.745	0.706	0.0136185180399067
Gycalpha99B	5.85987557379705e-07	-0.455454157735017	0.98	0.98	0.0140238542232111
FBti0018968	6.67025475733045e-07	2.64113900155589	0.941	0.784	0.0159632536852432
CG1983	6.95394965460606e-07	-0.392175766826868	0.863	0.961	0.0166421923134032
puml	7.35007664174805e-07	1.22283845474266	0.98	0.922	0.0175902034190314
CG4210	7.46053824467791e-07	1.96390420149809	0.686	0.451	0.0178545601271632
Nup98-96	7.84588315859737e-07	0.640539848616037	0.961	0.922	0.0187767675751552
RPA2	7.8714743607246e-07	1.49362218918273	0.667	0.431	0.0188380124400861
CG12728	8.07708543772526e-07	0.570701807595986	0.902	0.882	0.0193300808695641
CG1161	9.1169572582478e-07	-0.254373546051937	0.98	1	0.0218187021104386
COX8	9.37279622995213e-07	-0.27127769234661	1	1	0.0224309759375214
FBti0020260	1.01799465490113e-06	-0.989273593406942	0.49	0.745	0.0243626480810938
CecA2	1.04393700257414e-06	2.77330744122993	0.569	0.314	0.0249835003456044
CG34133	1.09589905501099e-06	0.403443704763064	1	0.98	0.0262270561845229
RR48370-transposable-element	1.15165577228071e-06	-0.531795632205894	0.745	0.922	0.0275614259422219
lncRNA:CR44522	1.21952508102248e-06	3.68972923805909	0.451	0.02	0.0291856742390301
Non3	1.24190500603943e-06	0.8227076902264	0.843	0.765	0.0297212706045357
PGRP-SC2	1.28839712789032e-06	1.2684888359259	0.686	0.333	0.0308339200646711
CG18428	1.307386592564e-06	-0.488039650531338	1	1	0.0312883759332417
CG13409	1.36597621418996e-06	-0.442207700444314	0.98	0.98	0.0326905427579941
Vha100-1	1.42414217624374e-06	-0.250596771792049	1	1	0.0340825705618653
CG13185	1.4564009743822e-06	1.13750352374993	0.824	0.745	0.0348545881189148
CG31205	1.45920911327497e-06	1.85868718480541	0.843	0.608	0.0349217924988967
Tom20	1.48337673166063e-06	-0.230115943602935	1	1	0.0355001719421023
FBti0019447	1.50224057481824e-06	-0.915387772285058	0.431	0.667	0.0359516214365501
CG3662	1.58173235046349e-06	-0.404883286244733	1	1	0.0378540186112921
FBti0018891	1.65862897591467e-06	3.82631307976149	0.471	0.059	0.0396943086515899
FBti0059773	1.77270249327293e-06	-0.596063493954406	0.863	0.882	0.0424243160690077
GstD9	1.80083959964908e-06	-0.820806721526212	0.647	0.922	0.0430976932988019
Pih1D1	1.8578222570095e-06	0.609133733254378	0.961	1	0.0444614022547513
CG2076	2.03029793777571e-06	0.705442876628776	0.961	0.98	0.0485890902468484
lncRNA:CR44565	2.03986859885206e-06	-1.43837000310947	0.118	0.569	0.0488181353077275
Hsp67Bc	2.11274165918487e-06	1.17892345112992	0.941	0.784	0.0505621333876123
NaPi-III	2.16839010175059e-06	0.879420266547617	1	1	0.0518939119150951
FBti0019622	2.18932063049092e-06	2.08824599247244	0.824	0.745	0.0523948213289086
CG5071	2.24238347725405e-06	1.34541992774292	0.902	0.824	0.053664721377644
FBti0020210	2.24958153573775e-06	-0.823502344634201	0.471	0.843	0.0538369853132758
Mlf	2.66217680772417e-06	-0.1554910935788	1	1	0.0637112153624549
gammaSnap1	2.67701124075639e-06	-0.372124072870518	1	1	0.0640662330137818
hpRNA:CR46342	2.97183515968415e-06	1.07674949267084	0.882	0.882	0.0711219590415612
CG4645	3.01426466540054e-06	-0.271947198211796	0.941	0.941	0.0721373819723657
BomBc1	3.05289586522583e-06	1.0454032413243	0.843	0.725	0.0730619038465844
Uhg1	3.4933577366512e-06	1.56759029554666	0.941	0.961	0.0836030373535364
CG16739	3.70777461465887e-06	-0.721283971933936	0.706	0.843	0.0887344620780161
CG4757	3.78300755437727e-06	1.20101877054388	0.725	0.412	0.0905349367913568
CG6495	3.93312419654434e-06	-0.403788575254294	1	1	0.0941275282716991
CG17904	4.09067680121233e-06	0.800327655163636	0.922	0.843	0.0978980772066135
CG5027	4.19616168033313e-06	-0.449196117507278	0.98	1	0.100422541333733
SerRS	4.41610064107249e-06	0.963299895964181	0.941	0.765	0.105686120542147
UQCR-6.4	4.45559183989175e-06	-0.275944166753924	1	1	0.106631223912289
Desat1	4.60399464772499e-06	0.548061160507867	1	1	0.110182799909354
FBti0019586	5.20267849244919e-06	2.26777232484046	0.51	0.196	0.124510501681294
EloA	5.38153043833171e-06	0.556208671739586	0.98	0.941	0.128790786450154
srl	5.58620116152743e-06	1.38891242936223	0.765	0.745	0.133688966197674
Su(var)2-HP2	5.86861752315714e-06	0.374181369754997	1	1	0.140447754564197
CG42365	6.01120854389424e-06	0.867896463992654	0.824	0.765	0.143860242872477
bcn92	6.19069925152192e-06	0.885394915711354	1	0.98	0.148155814487423
snoRNA:Psi28S-1153	6.86829133891404e-06	-0.854322544804365	0.49	0.725	0.164371948322891
sle	6.87577990232818e-06	0.93945845806495	0.784	0.804	0.164551164622518
FBti0018970	7.05909741995726e-06	2.50250034052918	0.627	0.216	0.168938319454417
Tango9	7.09428023157812e-06	-0.288797501898875	0.98	1	0.169780314502128
Ice1	7.15629334364043e-06	0.680287459744466	0.745	0.549	0.171264412300003
Xrp1	8.10587683746464e-06	1.11984640214255	1	1	0.193989844474204
Archease	8.6019339502353e-06	0.976730220677153	0.843	0.843	0.205861483297031
Gapdh2	8.74718854166403e-06	0.675859747703656	1	1	0.209337716179104
CG42724	9.09215940817111e-06	-0.262801418719318	1	1	0.217593558956351
FBti0018969	9.22319779709478e-06	2.27485984123058	0.51	0.235	0.220729569680072
CG6512	9.23882342251039e-06	0.627148671614225	0.961	0.98	0.221103522147519
SelT	9.64287701794543e-06	-0.273094910362412	0.98	1	0.23077333279347
eIF6	9.68056808040678e-06	1.08565608454471	0.804	0.765	0.231675355300295
Drsl5	9.73713208779296e-06	-1.09101789210921	0.725	0.843	0.233029045125061
prtp	1.0200372235546e-05	-0.297543936260403	0.98	0.98	0.244115308341086
ND-49	1.06771563068439e-05	-0.257972792779756	1	1	0.255525704735388
lncRNA:CR44922	1.08591174340016e-05	0.340110902154859	1	1	0.259880398430526
CG14400	1.11043608799045e-05	-0.794163820045448	0.529	0.745	0.265749564577875
FBti0019468	1.12631346003123e-05	1.83050025870547	0.529	0.314	0.269549337254674
SpdS	1.14985295822299e-05	0.628675493094251	0.98	0.961	0.275182809961925
FBti0020021	1.23182943513394e-05	1.94096452970305	0.647	0.333	0.294801420416254
Hmgs	1.31365080295952e-05	0.752313558499643	0.98	0.922	0.314382910164273
ABCB7	1.34476050968781e-05	-0.390539320416196	0.922	1	0.321828085178486
CG4962	1.34582391844027e-05	1.47151750103752	0.824	0.647	0.322082580161125
Lst	1.38878694267803e-05	-0.340052058992561	0.745	0.902	0.332364491121707
snoRNA:Psi28S-3342	1.44172756143435e-05	-0.784662336197503	0.529	0.765	0.34503424000247
lectin-28C	1.45885603718089e-05	-0.562688871707503	0.784	0.922	0.349133426818131
CG3907	1.49901191390457e-05	-0.454116731182108	0.98	1	0.358743531235641
CG13920	1.51517578933384e-05	-0.532604946039799	0.98	1	0.362611869903375
Set1	1.63186810526455e-05	0.425980032145337	1	1	0.390538674951911
CG5323	1.63493802100326e-05	0.841192963041843	0.902	0.882	0.391273367186501
bsk	1.66899127710241e-05	-0.224607740604353	0.98	1	0.399422992436149
Cyp4d20	1.7464982856509e-05	-1.26303440583379	0.471	0.667	0.417971969721973
antr	1.81698493725761e-05	1.33207605026345	0.549	0.235	0.434840835184491
eIF2beta	1.9250225462615e-05	0.779632058968943	1	1	0.460696395771301
Aatf	1.93502202905477e-05	0.874245669446572	0.863	0.824	0.463089471993388
FBti0064311	1.94274084359438e-05	-0.909234536076818	0.667	0.843	0.464936738689006
CDC50	2.01066681367144e-05	-0.348921017872857	0.922	0.961	0.481192781847848
CG5282	2.08885455832765e-05	-0.525195660570018	0.98	1	0.499904672898973
ThrRS	2.15353640279319e-05	0.673540214024572	0.98	0.961	0.515384331916466
CG31142	2.16185367602467e-05	0.920759490924075	0.784	0.667	0.517374821746224
p24-1	2.18019694275917e-05	-0.26724098850042	0.98	0.961	0.521764732341124
CCHa2	2.20200629047516e-05	-0.354857705429771	0.961	0.98	0.526984145436516
CG31897	2.20441391442483e-05	0.929512392532224	0.843	0.706	0.527560338000151
CG9911	2.24393926424607e-05	-0.264124819456531	0.98	0.941	0.53701954471937
BomS3	2.31757779394519e-05	0.903490814798698	1	0.98	0.554642717646963
Arl6IP1	2.47836775442981e-05	-0.390557212018866	1	0.98	0.593122970990142
FBti0019396	2.64991767971558e-05	-0.751892138404309	0.667	0.765	0.634178299109531
PGRP-SD	2.82294722740668e-05	1.2159946501383	0.745	0.471	0.675587730462967
Ctl1	3.00255261459468e-05	-0.417285271804523	0.941	0.98	0.718570891724798
CG9389	3.0851090493857e-05	1.50366239861931	0.49	0.196	0.738328297698986
lncRNA:CR45231	3.22462364849431e-05	3.3670159844159	0.392	0.098	0.771716931557659
CG15456	3.37043621628398e-05	-0.442677179710905	0.922	0.98	0.806612795281081
ND-MLRQ	3.73942640359336e-05	-0.181524594617635	1	1	0.894919526907964
Scgbeta	3.74351486742148e-05	-0.452512204697507	0.922	1	0.895897978071309
sxc	3.75382396139193e-05	-0.153248230987285	1	1	0.898365150440316
Surf1	3.78267613059894e-05	-0.471751890273165	0.667	0.804	0.905270051574937
CG6425	3.83816494634394e-05	0.912353877920996	0.765	0.569	0.918549634959032
Gbeta5	3.86703443863811e-05	-0.42533841996889	0.941	0.961	0.925458681854872
PCNA	3.92817238320459e-05	1.51896494194692	0.471	0.275	0.940090214748523
lncRNA:CR44506	3.9585265559946e-05	0.667729960891178	0.804	0.608	0.947354575380627
Acer	4.27329529853686e-05	-0.626631680022229	0.902	0.922	1
HSPBAP1	5.05417751500508e-05	-0.63486740654747	0.314	0.608	1
CR40190	5.10795023480957e-05	-0.647951916736303	0.784	0.863	1
Frl	5.23887891451326e-05	0.54612156210155	1	1	1
Ugt37A3	5.24789945845787e-05	-1.27684020535882	0.176	0.51	1
CG8412	5.65066899308647e-05	0.873035027300154	0.98	0.882	1
