	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PGRP-SB1	2.10659768006622e-79	1.8398285770601	0.09	0.031	5.04150956793448e-75
Tret1-1	5.80557196002379e-79	0.573302779220864	0.37	0.257	1.38938948147289e-74
CG44774	2.39408361653578e-78	0.821053050703402	0.481	0.378	5.72952091109343e-74
FBti0063007	4.70272843544276e-77	-1.28299648002555	0.067	0.14	1.12545696917016e-72
CG5966	1.10968658626273e-75	1.46797888456055	0.109	0.045	2.65570193824397e-71
lncRNA:CR45231	1.48752549804021e-75	5.22114227314983	0.031	0.001	3.55994602190984e-71
CG2017	9.87652716866458e-75	0.761071353322128	0.362	0.258	2.36365048200481e-70
FBti0019050	2.94181640505671e-74	2.87740368487604	0.041	0.005	7.04035502058172e-70
Srr	4.75227459646987e-74	1.83373376937283	0.07	0.021	1.13731435642717e-69
TotC	1.57306497219295e-73	-3.82818971583345	0.003	0.037	3.76465909145217e-69
TotX	3.09577513386527e-73	-3.2996007362009	0.006	0.043	7.40880905036637e-69
ver	6.23788599538093e-73	2.35335449097014	0.053	0.011	1.49285087641456e-68
Tpc1	1.02153266095438e-72	1.28044583306492	0.111	0.048	2.44473196419602e-68
FBti0019151	1.99443292990833e-72	2.24200980679164	0.047	0.008	4.77307688785662e-68
La	2.39634804190664e-71	0.910885001148084	0.146	0.072	5.73494013389097e-67
28SrRNA-Psi:CR40596	2.71912140583322e-71	-0.73486742382195	0.251	0.346	6.50740134844007e-67
RR48347-transposable-element	3.13902808139945e-71	1.28744007760333	0.063	0.017	7.51232200440517e-67
CG33110	4.34060773843012e-71	0.617342049572581	0.153	0.077	1.0387942439611e-66
CG14304	3.20460821654621e-70	-1.12693306351939	0.066	0.135	7.6692683838384e-66
Cyp4p1	8.34566429955917e-70	1.74470767677032	0.096	0.038	1.9972843801705e-65
Pfk	7.93562740988547e-69	0.556335706995349	0.427	0.329	1.89915435173379e-64
CG17177	1.92931742888661e-68	5.64562609765245	0.028	0.001	4.61724247081143e-64
CG4210	2.21978230299068e-68	2.13950591702723	0.047	0.009	5.31238300751729e-64
kay	3.56583485492936e-68	0.514015364572305	0.41	0.303	8.53375597481693e-64
eIF2beta	1.61546883386638e-67	0.63810698253109	0.331	0.232	3.86614001320902e-63
CG2993	3.68598023338415e-67	-0.566068394525398	0.555	0.615	8.82128789453495e-63
Tektin-C	3.78969204675149e-67	1.07649029400213	0.208	0.127	9.06949100628566e-63
Cyp4p2	3.94416856203899e-67	1.44813782048514	0.087	0.033	9.4391842026717e-63
lncRNA:CR43857	1.08359216061692e-66	1.64497671370031	0.07	0.022	2.59325275878842e-62
Hpd	3.06475895534429e-66	0.535583389413679	0.288	0.191	7.33458113192995e-62
RR48341-transposable-element	3.89260433866599e-66	2.64509149506684	0.038	0.005	9.31578070329544e-62
Cpr49Ag	1.99031646658117e-65	0.761633741922938	0.185	0.106	4.76322536782204e-61
Hsp68	3.81651906898862e-65	1.67768895442953	0.09	0.036	9.13369343590356e-61
P32	8.09588466046596e-65	0.867963727144681	0.171	0.095	1.93750711694271e-60
IM33	9.63315270662628e-65	0.623153498285701	0.344	0.243	2.3054061057498e-60
Nop60B	3.14010198754837e-64	1.03797925847181	0.125	0.06	7.51489207660077e-60
FBti0019150	4.07551451390079e-64	-1.31513968274421	0.053	0.114	9.75352133466738e-60
RR48532-transposable-element	2.25078418896333e-63	2.77706068950502	0.036	0.005	5.38657672102704e-59
CG4630	8.8006120409101e-63	1.72082419384942	0.047	0.011	2.1061624736306e-58
CG31205	1.66606364156392e-62	1.84732768420022	0.071	0.025	3.98722350699078e-58
CG9689	1.1224887308836e-60	0.664564478371048	0.152	0.082	2.68634003075064e-56
Uhg8	2.85130591759302e-60	1.24332619121045	0.092	0.039	6.82374532198361e-56
Mdr50	3.57118343512544e-60	3.1686518335943	0.034	0.004	8.5465561969422e-56
CG2233	6.9216485092612e-60	-0.524752101961755	0.507	0.583	1.65648892123639e-55
Rel	2.90197991549371e-59	0.852219456503795	0.148	0.08	6.94501833375954e-55
Mocs1	4.84079535626698e-59	1.35935672124538	0.071	0.025	1.15849914466181e-54
FBti0019622	6.32835130446391e-59	2.04912175257396	0.061	0.019	1.5145010341843e-54
Pgant9	9.70441428139414e-59	-0.608257408863479	0.406	0.482	2.32246042582325e-54
ref(2)P	1.37891518035819e-58	0.503996873997998	0.347	0.249	3.30001980963323e-54
FBti0020044	3.97968951614173e-58	-1.75903507558071	0.019	0.06	9.52419295003039e-54
lncRNA:CR44138	4.05485922416758e-58	3.40496136883383	0.03	0.003	9.70408909527784e-54
FeCH	1.14149543933229e-57	0.975759865652334	0.124	0.063	2.73182688541005e-53
28SrRNA-Psi:CR45848	1.27935211164848e-56	-1.60820881733252	0.029	0.075	3.06174547359713e-52
Obp56e	2.31474330547995e-56	0.608692253289503	0.251	0.167	5.53964367867462e-52
CG11089	2.64823469334287e-56	0.660420710614769	0.261	0.176	6.33775526810815e-52
AttB	3.48226495174157e-56	2.21923531671769	0.05	0.014	8.33375648250792e-52
srl	1.01936695816261e-55	1.37409107809451	0.072	0.027	2.43954900427476e-51
Hsp23	1.87350288070016e-55	1.60339131850317	0.158	0.091	4.48366709409163e-51
BomS6	1.30477787282555e-54	-0.927935685708822	0.137	0.21	3.12259440524612e-50
CG5646	2.71622844144877e-54	0.748250179033104	0.155	0.088	6.50047790607521e-50
COX7AL	1.58871789202659e-53	3.30718284093156	0.031	0.004	3.80211965919804e-49
CG3902	1.65053827313359e-53	0.510355974689263	0.279	0.192	3.95006819526331e-49
ken	3.76114807352167e-53	0.738678495333858	0.121	0.062	9.00117956955205e-49
CG5953	4.53905743206448e-53	0.768327818692933	0.168	0.099	1.08628722464167e-48
bcn92	2.9222103287552e-52	0.790851335279731	0.17	0.102	6.99343375877693e-48
CG2076	6.64283110037839e-52	0.709381621874609	0.195	0.122	1.58976233894256e-47
Rh7	7.05096942927536e-52	0.583178868187664	0.259	0.175	1.68743800381418e-47
FBti0018969	8.67916894694499e-52	3.08070105449601	0.026	0.003	2.07709871238288e-47
Qtzl	1.04714311623885e-51	1.05833035334504	0.091	0.042	2.50602290578282e-47
Gnmt	1.39437486140769e-51	0.920717556908312	0.166	0.099	3.33701791832088e-47
CG4364	2.53746597995874e-51	0.501760733048644	0.32	0.231	6.07266358323725e-47
CG30033	1.1666056113116e-50	2.02807045613542	0.05	0.015	2.79192054899091e-46
Alr	2.08004633043746e-50	1.06807847555679	0.085	0.038	4.97796687800293e-46
CG9313	3.3106645249842e-50	2.43639894987764	0.029	0.004	7.92308234119219e-46
JhI-21	7.59492965488259e-50	0.816127136895034	0.135	0.075	1.8176185650065e-45
Hr38	6.05375169817203e-49	0.885905807908339	0.225	0.149	1.44878385640653e-44
FBti0019586	6.86393756062676e-49	3.15826725453977	0.024	0.002	1.6426775370092e-44
CG12239	6.98513263457784e-49	0.762556675858842	0.15	0.087	1.67168194210717e-44
eIF2Bdelta	1.74045109820051e-48	0.956402699654429	0.103	0.052	4.16524756821345e-44
AGBE	3.7002370742368e-48	0.613906687577696	0.171	0.104	8.85540736606352e-44
CG4962	4.29003039488939e-48	1.57774530178057	0.051	0.017	1.02669007410493e-43
cu	1.31901713681814e-47	0.790114793183786	0.201	0.13	3.15667181183316e-43
Hmgs	1.79712155836194e-47	0.595435950354919	0.198	0.127	4.30087131347179e-43
RR51048-transposable-element	2.21628601002159e-47	-1.19387475686036	0.051	0.101	5.30401567918368e-43
FBti0059778	8.11743167346944e-47	3.10288500672126	0.025	0.003	1.94266374809471e-42
Amy-p	5.5614367633455e-46	-2.62475913470024	0.006	0.032	1.33096304620384e-41
CG13185	1.7958516514927e-45	1.01879696958336	0.088	0.042	4.29783217235234e-41
FBti0062856	2.01401420156607e-45	1.49254793670634	0.058	0.022	4.81993878718791e-41
mspo	2.5775647863193e-45	-0.535879681246442	0.438	0.503	6.16862804661936e-41
CG10638	3.67916017595388e-45	0.911871167515758	0.102	0.052	8.80496613309283e-41
BomBc1	4.68549641775477e-45	0.894405964800622	0.058	0.022	1.12133300269707e-40
hpRNA:CR46342	5.87472378255671e-45	0.864509729669717	0.127	0.072	1.40593889564147e-40
CG8412	5.94591232921756e-45	0.818947713195931	0.131	0.074	1.42297573862835e-40
lncRNA:CR44178	1.28368780598824e-44	-1.02363795281178	0.055	0.105	3.07212165729105e-40
Rgk2	2.02153988348734e-44	0.570808110488398	0.224	0.152	4.8379492491619e-40
FBti0019332	2.29822093515756e-44	-1.44979140207459	0.022	0.057	5.50010234201908e-40
FBti0020021	5.22765245466036e-44	2.32186454455057	0.028	0.005	1.25108178544932e-39
FBti0102118	7.59883858576524e-44	-1.05131366189162	0.043	0.088	1.81855405034534e-39
28SrRNA-Psi:CR40741	7.67315743797564e-44	-1.2886531356628	0.036	0.078	1.83634003805633e-39
EMC2A	1.34824846626295e-43	0.675924068708973	0.124	0.069	3.22662822946048e-39
Rbp1	2.2922833133641e-43	-0.525825575956384	0.284	0.357	5.48589242554296e-39
FBti0019220	3.66548922886196e-43	-2.7272165098202	0.007	0.031	8.77224882251244e-39
FBti0019822	4.40840131352647e-43	2.59012477424266	0.025	0.004	1.05501860235315e-38
ThrRS	5.23528370686853e-43	0.525374903547729	0.199	0.131	1.25290809672778e-38
CG12535	5.60706452828999e-43	1.00219445224986	0.076	0.035	1.34188268291036e-38
FBti0102113	1.46561603166422e-42	1.87508106117937	0.036	0.009	3.50751228697881e-38
CG10365	2.03060308919051e-42	0.625367073911343	0.138	0.082	4.85963931305073e-38
sug	2.19589002751226e-42	1.08778711811492	0.077	0.036	5.25520401384234e-38
asRNA:CR45481	2.56045506913893e-42	4.91702510677663	0.019	0.001	6.12768107146328e-38
LeuRS	4.47104985156555e-42	0.746383779388504	0.099	0.052	1.07001165047667e-37
CG3635	5.11893640492003e-42	1.85015222667213	0.036	0.01	1.22506386042546e-37
5-HT1B	8.63104260888946e-42	-0.651696517653005	0.24	0.307	2.06558111715942e-37
asRNA:CR45889	1.37223666046554e-41	-1.02280060185367	0.063	0.113	3.28403677582613e-37
nAChRbeta2	4.23410489548304e-41	-0.567832906212918	0.24	0.311	1.013305983587e-36
FBti0020039	4.82243247464313e-41	-2.08443057711332	0.011	0.039	1.15410453983159e-36
CG43236	7.53647322266228e-41	1.78845090957636	0.042	0.013	1.80362877164754e-36
CG31115	7.53750445478271e-41	-3.0280677992059	0.003	0.023	1.8038755661186e-36
CG43707	7.77161126973912e-41	-0.52283461604259	0.331	0.398	1.85990200907397e-36
FBti0019568	1.08402311831083e-40	2.24187116060905	0.028	0.005	2.59428412674148e-36
FBti0019230	1.20599981646371e-40	1.70556647406489	0.065	0.028	2.88619876076094e-36
FBti0019468	1.86693348775578e-40	2.49455421669141	0.026	0.005	4.46794522289714e-36
SerRS	2.23439235490573e-40	0.891386999095293	0.09	0.046	5.34734778376039e-36
FBti0019364	3.21763126659716e-40	2.17049931855709	0.025	0.004	7.70043514722031e-36
CG7470	3.26988738738465e-40	0.545823354228324	0.382	0.302	7.82549449548894e-36
FBti0019149	1.07642058232491e-39	-1.37577294861604	0.026	0.061	2.57608973761998e-35
FBti0019176	2.88267139189808e-39	2.64469429048619	0.025	0.004	6.89880917509049e-35
CG33468	3.50680375949538e-39	3.30961524907175	0.019	0.002	8.39248275722434e-35
DNApol-zeta	3.63962078472891e-39	1.30647327164065	0.052	0.02	8.71034046201323e-35
CrebA	4.12600462532169e-39	0.606659171131046	0.172	0.112	9.87435426931987e-35
Listericin	1.59464845584058e-38	0.708409628881008	0.1	0.054	3.81631268451768e-34
Nepl11	2.91032866668837e-38	0.608932207084497	0.269	0.199	6.96499856511861e-34
CG8012	3.0985195231616e-38	0.813875735740191	0.082	0.041	7.41537692283035e-34
CG6282	3.87953173805023e-38	-0.577498471337323	0.277	0.343	9.28449535550181e-34
CG5172	4.25731591289657e-38	1.06481587181905	0.061	0.026	1.01886084427441e-33
CG34291	9.26761659333719e-38	1.51328354992777	0.05	0.019	2.21792600311746e-33
FBti0020108	1.20794633933568e-37	2.76001215467022	0.019	0.002	2.89085717929815e-33
sick	1.9300139421621e-37	0.563094534893433	0.508	0.445	4.61890936638234e-33
Hsp27	5.95160451130295e-37	2.25854968857299	0.05	0.02	1.42433799164502e-32
serp	6.04377642178316e-37	0.916619168421781	0.108	0.062	1.44639657326115e-32
dgt2	7.75800917009283e-37	1.62510932698345	0.035	0.01	1.85664675458662e-32
Rpi	1.36471736531439e-36	0.573551567547608	0.133	0.08	3.26604159867041e-32
CG30109	1.3749810526347e-36	0.815402544071064	0.084	0.043	3.29060465516537e-32
lncRNA:CR44832	1.50451107599946e-36	0.57305519690297	0.131	0.08	3.60059590708191e-32
Hsp70Ab	4.02316834062962e-36	2.41398292254869	0.045	0.017	9.6282464727948e-32
CG13248	4.11179342195667e-36	-0.728120501341782	0.146	0.205	9.84034401742669e-32
28SrRNA-Psi:CR45860	7.00219178489538e-36	-1.3943939583281	0.021	0.051	1.67576453796116e-31
CG13920	7.53572924988961e-36	-0.577367327922899	0.202	0.265	1.80345072408358e-31
RPA2	8.56877015384583e-36	1.98173416154879	0.032	0.009	2.05067807321838e-31
FBti0019417	1.95831748974059e-35	-1.34829531589379	0.03	0.065	4.68664541644718e-31
hoip	2.35356207769554e-35	1.24200310291653	0.053	0.022	5.63254476434096e-31
Pxn	2.7780057191321e-35	-0.608545406851571	0.198	0.262	6.64832328702695e-31
CG5697	9.3073943260869e-35	3.53058214865091	0.017	0.002	2.22744561011912e-30
RR50423-transposable-element	1.39541649149673e-34	-1.37246487639768	0.018	0.046	3.33951074744998e-30
CG1703	1.49944884059612e-34	0.584990804916565	0.143	0.091	3.58848096531464e-30
FBti0019052	1.57914966436861e-34	4.05743728751227	0.015	0.001	3.77922097676695e-30
PGRP-LA	2.74810907896079e-34	0.544873141621798	0.123	0.075	6.57677464776897e-30
FBti0060328	2.86021528056375e-34	5.81979822772619	0.013	0	6.84506720944518e-30
CG15096	4.70042292266626e-34	0.656429711723393	0.114	0.068	1.12490521385249e-29
SpdS	5.26322039571435e-34	0.61728513238995	0.167	0.111	1.25959390510236e-29
lncRNA:CR45973	5.36451894505932e-34	3.34533921470647	0.017	0.002	1.2838366739316e-29
CG40470	6.52016645027419e-34	0.641992642006137	0.09	0.049	1.56040623487962e-29
dbr	7.99279926385433e-34	0.555143825410071	0.154	0.101	1.91283671982562e-29
CG11899	1.31614027927893e-33	0.652337865095767	0.116	0.07	3.14978691637033e-29
Hsp67Bc	1.61432278483407e-33	0.90328261773945	0.106	0.062	3.8633972886649e-29
CG6454	3.19254515495554e-33	-0.766944853165328	0.133	0.187	7.6403990648396e-29
eIF2D	3.92765312345498e-33	0.792359779720211	0.07	0.034	9.39965945505245e-29
Had1	4.20315269091206e-33	-0.829673029055666	0.116	0.168	1.00589850198907e-28
trbl	6.36093649359268e-33	1.00358386974355	0.058	0.026	1.5222993216466e-28
CG5282	7.22928649318872e-33	-0.597413280050376	0.173	0.232	1.73011284354992e-28
Vajk3	8.38048691184452e-33	0.578041723316932	0.138	0.088	2.00561812774263e-28
CG9864	8.41425336700615e-33	2.32789485956502	0.021	0.004	2.01369911579191e-28
eIF6	1.32978169904979e-32	0.883514096338114	0.057	0.026	3.18243356216595e-28
CG18428	1.51209012199634e-32	-0.500133827106317	0.239	0.301	3.61873407996163e-28
Spg7	1.63346175857186e-32	0.688996178140373	0.096	0.055	3.90920068061418e-28
CG10445	2.64872277644046e-32	2.25047799924869	0.018	0.003	6.3389233485773e-28
CG43783	3.8054375745451e-32	-0.888959660518101	0.105	0.154	9.10717320340133e-28
CG17904	5.18361918320976e-32	0.726774876748684	0.094	0.053	1.24054374292576e-27
FBti0020101	5.63688400077099e-32	-0.998666815399623	0.042	0.079	1.34901907906451e-27
sage	6.4701851112266e-32	0.657271308355483	0.14	0.091	1.54844470081875e-27
CecA2	8.5817452841706e-32	3.23630202740226	0.019	0.003	2.05378328140771e-27
dpr10	9.44186856713733e-32	-0.540250845176244	0.4	0.454	2.25962798548731e-27
CG3907	1.7189912047379e-31	-0.502104208582216	0.235	0.295	4.11388975117875e-27
CG1673	2.50589510619782e-31	0.550172632741425	0.092	0.052	5.99710816815261e-27
FBti0062853	2.62789042515444e-31	2.28112154444767	0.028	0.008	6.28906736547961e-27
CG31955	2.80452085308087e-31	1.26417728311887	0.04	0.015	6.71177930559314e-27
Uhg3	4.33511210682923e-31	0.566176775817752	0.24	0.179	1.03747902940637e-26
CG14742	4.98937141669797e-31	0.79192965394116	0.077	0.041	1.19405636744416e-26
Bet1	5.06738136010755e-31	0.596283538717722	0.139	0.091	1.21272570710094e-26
CG15784	5.43537817511689e-31	0.660720525999757	0.098	0.057	1.30079470486897e-26
verm	5.66581040400875e-31	0.832244280451198	0.105	0.062	1.35594174588737e-26
Hr39	6.20996408589007e-31	0.511810676644679	0.424	0.362	1.48616860503521e-26
dsb	7.1161546361999e-31	0.976444297650164	0.142	0.094	1.70303812753536e-26
CG12038	8.24584695472263e-31	-0.578773790180152	0.159	0.215	1.97339609320422e-26
CecA1	1.17402408023347e-30	2.17352552503377	0.024	0.006	2.80967442881474e-26
CG10063	1.93788567963847e-30	4.06627603641644	0.013	0.001	4.63774800851078e-26
RhoGAP15B	2.81551999985915e-30	0.766310440241864	0.082	0.045	6.73810246366292e-26
GlyRS	2.94106590151833e-30	0.580478007869433	0.093	0.053	7.03855891551366e-26
FBti0019008	3.09319794819443e-30	5.75653456474105	0.012	0	7.4026413296189e-26
Aatf	3.61856958309583e-30	0.75267214187537	0.076	0.041	8.65996072626493e-26
CR41320	6.40804443503647e-30	1.16075767049306	0.044	0.018	1.53357319419293e-25
