p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
0	-3.44353355687695	0.103	0.656	0	SGCD
0	2.32936596393046	0.86	0.523	0	CANX
0	3.32750305854027	0.969	0.456	0	TUBB2A
0	2.39764350988109	0.845	0.379	0	TUBB
0	3.25364928787232	0.992	0.757	0	HSP90AB1
0	-1.81050786705031	0.065	0.588	0	SUPT3H
0	-2.24138730560801	0.088	0.593	0	KHDRBS2
0	-3.06915333017841	0.386	0.896	0	ADGRB3
0	-3.00477032394821	0.081	0.694	0	AL589740.1
0	-2.89266010719147	0.104	0.751	0	GRIK2
0	2.99920435890676	0.947	0.537	0	SERINC1
0	-2.61627968840877	0.128	0.685	0	NKAIN2
0	-1.78407970038618	0.234	0.785	0	AHI1
0	2.01388743840572	0.846	0.472	0	ACTB
0	-3.06861742496514	0.144	0.768	0	AUTS2
0	-1.83378696334365	0.093	0.677	0	SRRM3
0	2.44156758555216	0.939	0.666	0	YWHAG
0	-3.03021546231302	0.289	0.887	0	MAGI2
0	3.0531442891004	0.939	0.585	0	PEG10
0	-2.3904261105392	0.112	0.698	0	IMMP2L
0	-1.17685855725356	0.023	0.484	0	NRF1
0	-2.75829218290088	0.177	0.837	0	AC016831.7
0	-2.97697155408097	0.687	0.955	0	CNTNAP2
0	-3.03568646065835	0.223	0.831	0	IL1RAPL1
0	1.81961875850777	0.834	0.456	0	PCSK1N
0	-3.0951617607814	0.178	0.915	0	FTX
0	2.13870823039741	0.83	0.416	0	BEX1
0	-1.92151588314446	0.031	0.545	0	DANT2
0	2.59977258108898	0.856	0.382	0	PGRMC1
0	-1.49246901920945	0.101	0.648	0	LINC00632
0	-2.00778459723086	0.029	0.512	0	DLGAP2
0	-4.15492767008641	0.291	0.913	0	CSMD1
0	-1.38293587364993	0.016	0.501	0	FAM85B
0	-1.20620004281611	0.018	0.47	0	LINC00599
0	-2.34466034700272	0.029	0.595	0	XKR6
0	-3.02303460249949	0.042	0.534	0	SGCZ
0	2.84781096023429	0.92	0.508	0	ATP6V1B2
0	3.41258954959323	0.966	0.566	0	NEFM
0	3.27120454971407	0.963	0.564	0	NEFL
0	2.08299121105036	0.839	0.474	0	CLU
0	2.64013050882933	0.918	0.542	0	SARAF
0	-3.06635679500014	0.127	0.633	0	NRG1
0	-3.10333861281145	0.137	0.694	0	SNTG1
0	-1.93591644400694	0.021	0.464	0	MIR2052HG
0	2.22281255099147	0.951	0.671	0	STMN2
0	-3.1362566904381	0.393	0.867	0	RALYL
0	-2.76750550095173	0.256	0.828	0	RIMS2
0	-2.57673335307572	0.242	0.748	0	CSMD3
0	-1.6751092594369	0.051	0.574	0	KDM4C
0	-2.78149065863557	0.045	0.624	0	LINGO2
0	-1.79552821906829	0.069	0.592	0	ZCCHC7
0	3.36904688239846	0.821	0.495	0	ALDH1A1
0	1.98980980360826	0.882	0.695	0	STXBP1
0	2.26580750489874	0.771	0.296	0	TUBB4B
0	-1.86093456914354	0.027	0.53	0	KCNQ1OT1
0	2.26541000715572	0.869	0.554	0	DKK3
0	2.47146056915718	0.763	0.244	0	LDHA
0	-2.24621620003972	0.092	0.663	0	NAV2
0	-3.13016668519763	0.179	0.793	0	LRRC4C
0	2.08631122769768	0.96	0.826	0	RTN3
0	-3.01816121436335	0.337	0.882	0	DLG2
0	-2.5278544624915	0.041	0.513	0	CNTN5
0	2.7297471163091	0.922	0.477	0	THY1
0	3.11073220830122	0.906	0.368	0	HSPA8
0	2.20696522760747	0.808	0.447	0	APLP2
0	-3.4038936500651	0.19	0.748	0	ADARB2
0	-3.78259209317975	0.178	0.872	0	FRMD4A
0	-1.46641803479171	0.046	0.532	0	MLLT10
0	-3.68562133413505	0.152	0.738	0	PRKG1
0	-3.57641815255745	0.196	0.797	0	PCDH15
0	-2.11431911933634	0.121	0.707	0	JMJD1C
0	2.72429580074081	0.94	0.591	0	PSAP
0	-3.3316276512483	0.219	0.838	0	NRG3
0	2.32098196335864	0.769	0.32	0	GHITM
0	-2.35490308673924	0.099	0.665	0	GRID1
0	2.38817334699294	0.847	0.386	0	PGAM1
0	2.4424026335153	0.799	0.388	0	INA
0	2.68439183938121	0.89	0.527	0	SLC18A2
0	2.2690678825585	0.894	0.537	0	CALY
0	-2.26235355595544	0.06	0.606	0	CACNA1C
0	3.01647226502373	0.981	0.668	0	GAPDH
0	2.37060127903451	0.846	0.445	0	ENO2
0	-2.59617126472496	0.272	0.845	0	PLEKHA5
0	2.39119042833983	0.824	0.41	0	LDHB
0	2.079139955639	0.903	0.676	0	KIF21A
0	2.885759460441	0.985	0.682	0	TUBA1B
0	2.84981854333876	0.948	0.561	0	TUBA1A
0	1.98762985289037	0.821	0.465	0	FAIM2
0	2.51730707642604	0.846	0.387	0	ATP5F1B
0	-2.97273403466062	0.066	0.7	0	GRIP1
0	0.986422809330416	0.993	0.956	0	SYT1
0	-2.25389036097761	0.334	0.809	0	ANKS1B
0	2.53421921422264	0.944	0.585	0	PEBP1
0	2.28494824035308	0.881	0.483	0	UBC
0	2.32946382977744	0.888	0.505	0	ITM2B
0	-2.8929604734824	0.056	0.628	0	GPC6
0	-3.04226173715264	0.082	0.636	0	FGF14
0	-3.66117787748419	0.319	0.936	0	FAM155A
0	-2.9171009143503	0.075	0.68	0	MDGA2
0	-2.07865307435678	0.216	0.76	0	GPHN
0	-2.88182113408379	0.242	0.775	0	RGS6
0	2.06239063416047	0.943	0.708	0	CALM1
0	2.23647306247894	0.746	0.272	0	MOAP1
0	-2.04320307682833	0.076	0.645	0	UNC79
0	2.14508222793933	0.853	0.531	0	DDX24
0	-1.26674830255356	0.016	0.489	0	MEG3
0	-2.54062903090635	0.125	0.761	0	MEG8
0	1.98777416329773	0.896	0.657	0	DYNC1H1
0	3.84424725389957	0.996	0.826	0	HSP90AA1
0	2.91593595380312	0.94	0.507	0	CKB
0	2.38882164867688	0.86	0.49	0	KLC1
0	-2.42482061754023	0.051	0.635	0	SNRPN
0	2.15570391868836	0.797	0.379	0	SRP14
0	-3.31490267252345	0.217	0.823	0	RORA
0	2.63770650433045	0.919	0.607	0	PKM
0	-2.44419196960557	0.23	0.848	0	TNRC6A
0	2.40637161685503	0.767	0.314	0	VPS35
0	2.57308213761135	0.899	0.551	0	NDRG4
0	2.47246318827351	0.866	0.489	0	TERF2IP
0	-2.17389373232814	0.196	0.795	0	PLCG2
0	2.43293420703313	0.915	0.516	0	UBB
0	-1.31713546079359	0.09	0.631	0	WSB1
0	-2.06430026782532	0.092	0.677	0	SSH2
0	-1.76708756085947	0.116	0.7	0	GPATCH8
0	-1.65713189148966	0.089	0.628	0	KANSL1
0	1.93300266535117	0.934	0.746	0	NSF
0	2.37906271182554	0.899	0.587	0	CLTC
0	-1.27243930657975	0.026	0.517	0	LRRC37A3
0	2.83156703422533	0.94	0.499	0	ACTG1
0	-3.23711049819897	0.1	0.694	0	DLGAP1
0	-2.63549391918849	0.191	0.778	0	LDLRAD4
0	-1.79591913625363	0.02	0.471	0	SETBP1
0	2.35055408644222	0.824	0.406	0	ATP5F1A
0	-3.04920483397509	0.263	0.8	0	DCC
0	2.29228046564629	0.856	0.498	0	PRNP
0	2.54447826622418	0.764	0.302	0	CHGB
0	1.84167156944598	0.976	0.862	0	SNAP25
0	-3.16351669066833	0.24	0.836	0	MACROD2
0	2.19232172040053	0.836	0.473	0	DSTN
0	2.35292648692449	0.824	0.395	0	SERINC3
0	2.61536078830867	0.902	0.505	0	YWHAB
0	2.38506202821661	0.978	0.82	0	GNAS
0	2.56044339390639	0.883	0.442	0	EEF1A2
0	-2.23257873908405	0.241	0.769	0	CACNA1A
0	2.34176824761048	0.939	0.715	0	PLD3
0	-1.90817704291491	0.02	0.658	0	MIAT
0	-1.7823003573242	0.041	0.531	0	TTC28
0	3.16746233785502	0.893	0.407	0	NEFH
0	-2.12296756143969	0.145	0.748	0	MIR99AHG
0	1.32534179905547	0.913	0.717	0	APP
0	2.13634828162601	0.808	0.417	0	SOD1
0	-3.6740488028158	0.137	0.826	0	DSCAM
5.94294302143488e-308	-1.3748320135668	0.041	0.518	1.99308480109862e-303	TRAF3IP2-AS1
1.4356008648313e-307	2.13280125006168	0.763	0.337	4.81457462038472e-303	TUBB4A
2.14937069369018e-307	2.1918665199862	0.751	0.313	7.20834449542876e-303	PINK1
2.28770303954695e-306	-2.00545699223622	0.049	0.525	7.6722696837286e-302	KLHL29
7.42666633136475e-306	2.16868615614406	0.801	0.483	2.4906810875498e-301	PGM2L1
1.47000057190549e-305	-1.96647953891133	0.109	0.621	4.92994091799944e-301	PRKN
5.59180973358936e-305	-1.99281750904161	0.041	0.505	1.87532523035386e-300	TMEM108
6.29053426009462e-305	1.9084607128738	0.816	0.482	2.10965647480793e-300	CALM3
1.20922361771672e-304	-1.53305892969053	0.07	0.57	4.05537324673657e-300	REV3L
6.6359462158132e-304	-1.50733048712321	0.012	0.443	2.22549728239727e-299	PWRN1
2.84184645868804e-303	2.12151339415127	0.769	0.368	9.53070046850207e-299	PPA1
1.9011252339691e-302	-1.95703738192477	0.015	0.444	6.37580369716216e-298	CACNB4
8.67333036228221e-301	-1.96718734756191	0.072	0.559	2.90877480359858e-296	XKR4
2.63129443224778e-300	-1.56158680094035	0.033	0.486	8.82457213742936e-296	AC025159.1
5.10633923362181e-300	2.21591114133205	0.743	0.321	1.71251298877975e-295	PGK1
6.19253457344522e-300	-2.72022588578686	0.08	0.564	2.07679031989632e-295	GRID2
7.77364898860248e-299	-1.79493967578585	0.11	0.618	2.60704866130761e-294	ATXN1
2.86975519329411e-298	-2.45608732412221	0.062	0.53	9.62429799175047e-294	CDH12
4.01299249226941e-298	-1.73101475656465	0.049	0.513	1.34583729213239e-293	KSR2
4.98691075582802e-298	-1.0317510402925	0.019	0.454	1.67246026018204e-293	TARBP1
7.25380103308424e-298	-1.64519617310202	0.016	0.441	2.43270725246546e-293	AC006148.1
1.10694142279485e-297	1.44897509894001	0.879	0.709	3.71234944962708e-293	RTN1
4.71252713977501e-297	-1.85756151869002	0.865	0.967	1.58044022686635e-292	CADM2
8.45926537985206e-296	-1.53572360250021	0.072	0.564	2.83698383044098e-291	RALGPS1
1.35077789184485e-295	-1.31430707772165	0.049	0.521	4.53010381588007e-291	ANKRD36C
3.73105708144553e-295	-2.23341575944348	0.036	0.481	1.25128461340439e-290	AC120193.1
9.33186755126027e-295	2.2118340191965	0.737	0.317	3.12962842066616e-290	DNAJA1
1.51611573188113e-294	-2.18758589291457	0.167	0.676	5.08459733000973e-290	AFF3
1.62163626375881e-294	-1.90557310934033	0.059	0.528	5.43848153776792e-290	MTUS2
4.87193734808611e-294	1.96922878156879	0.792	0.481	1.63390162842764e-289	ACOT7
7.67078598281397e-294	-1.84419626593938	0.066	0.538	2.57255149505632e-289	STXBP5-AS1
8.7900508821307e-294	-1.59997830794096	0.059	0.539	2.94791936434017e-289	FER
1.2537073019086e-293	-2.29693858199757	0.109	0.605	4.20455817841086e-289	CSMD2
3.44814162324465e-292	-1.58955655717914	0.068	0.555	1.15640325618756e-287	SBF2
7.67371712808744e-292	-1.49285787871675	0.065	0.548	2.57353451324669e-287	TIAM2
4.57639715308825e-291	-1.4984848231867	0.055	0.526	1.53478631323121e-286	MED13L
5.90360559996577e-291	-2.75227995530152	0.109	0.591	1.97989221006052e-286	CNTNAP5
1.1246159036037e-290	-1.76812364363937	0.051	0.512	3.77162435591574e-286	DNAH14
1.76206318525343e-290	-1.59944210452618	0.057	0.528	5.90943130438444e-286	SPIDR
3.28897627397599e-290	-1.3517593244849	0.027	0.463	1.10302397300333e-285	NRG2
4.74793342375837e-290	-1.50281782876223	0.096	0.597	1.59231443232585e-285	TMEM161B-AS1
1.84979845118538e-289	-3.09828201652616	0.321	0.765	6.20366906574041e-285	NEAT1
1.90850945695273e-289	2.0110816671555	0.75	0.329	6.40056816578236e-285	ATP6V0E2
1.21803504079504e-288	-2.38337291634056	0.017	0.429	4.08492411631433e-284	SYN3
1.39644197836313e-286	-1.77644666075088	0.024	0.448	4.68324746283644e-282	AC233296.1
2.76707074138652e-286	-1.76700221327705	0.022	0.446	9.27992514538797e-282	MIR181A1HG
7.81446739872591e-286	-1.27765570118479	0.125	0.648	2.62073793151071e-281	PNISR
2.71141246858009e-285	-1.82311783468491	0.073	0.549	9.09326399587703e-281	OTUD7A
9.42026391952475e-285	2.16354909418044	0.711	0.246	3.15927391069102e-280	B4GAT1
1.39256319304686e-284	-1.87683391886328	0.098	0.58	4.67023918052124e-280	CACNB2
2.48426832593067e-284	-1.16115964473642	0.037	0.481	8.33149068467368e-280	CATSPER2
2.36741158563764e-281	-2.07154733346079	0.202	0.704	7.93958823475296e-277	CACNA1B
2.96153715317809e-281	-1.28122451332693	0.045	0.494	9.93210715061337e-277	R3HDM2
9.71914860220077e-281	-2.34745343611917	0.159	0.646	3.25951086672007e-276	HS6ST3
1.31128754139735e-280	-1.64609622563493	0.102	0.592	4.39766502758428e-276	SAMD12
1.47700472572992e-280	-2.18857419387283	0.366	0.806	4.95343074868045e-276	ADGRL3
1.99392738146823e-280	-1.29233774218239	0.074	0.553	6.68703425923e-276	TRPC1
4.08352916370417e-280	-2.24848019312261	0.136	0.628	1.36949317563147e-275	STXBP5L
4.83900818355388e-280	-2.61247121732206	0.218	0.713	1.62285817451847e-275	DMD
5.55186465525606e-280	-1.28542672286141	0.032	0.463	1.86192884943322e-275	POU2F1
1.98651500730837e-279	-1.02891039286263	0.025	0.447	6.66217538001008e-275	MIR124-2HG
2.60237604340001e-279	-1.65553326488783	0.033	0.46	8.72758853675062e-275	AC024901.1
3.81146209184306e-279	-1.95007793313912	0.136	0.631	1.27825004174141e-274	WWOX
5.54637750629587e-279	-1.44303104113171	0.039	0.475	1.86008862428645e-274	GTF2IRD1
6.5668585910479e-279	-1.14159399613637	0.023	0.443	2.20232736567973e-274	COL19A1
7.4622628451362e-279	-1.07847831796719	0.022	0.44	2.50261909037333e-274	AC010615.4
1.08534497048288e-278	-1.44126910807353	0.011	0.409	3.63992142750845e-274	ABCA10
1.51396448340184e-278	-1.37460836937698	0.03	0.457	5.07738268798476e-274	SCMH1
1.57923221744732e-278	-2.12818221270905	0.268	0.742	5.29627108765309e-274	DOCK3
3.15020553308649e-278	-1.3806442060055	0.085	0.569	1.05648442963122e-273	MNAT1
5.95502967123641e-278	-2.21192885135942	0.113	0.598	1.99713830084255e-273	FAM135B
8.42184701846744e-278	-2.13456379608833	0.877	0.944	2.82443483458343e-273	NRXN3
1.61095059963858e-276	-1.96788773863356	0.111	0.598	5.4026450260079e-272	DGKI
1.17425074290255e-275	1.84961864262368	0.783	0.408	3.93808471647229e-271	SNCG
1.53599212113647e-275	-2.03099075097676	0.123	0.615	5.15125677665536e-271	PRICKLE2
3.09170342139508e-275	-1.58550643554524	0.061	0.518	1.03686457643327e-270	VPS13B
1.03031662303502e-274	-2.07032036611848	0.22	0.711	3.45537285867255e-270	MYT1L
1.70888563530628e-274	-1.95497368731003	0.05	0.488	5.73108975512667e-270	SDK1
2.08943160646528e-274	2.1022139277946	0.737	0.358	7.0073267786026e-270	ATP6V1E1
2.24661912883386e-274	-1.15856343585577	0.03	0.454	7.53448657237011e-270	C11orf80
1.41213583351765e-273	-2.27435865120279	0.058	0.501	4.73587994486814e-269	NYAP2
4.05139423497493e-273	-1.65615236069678	0.046	0.483	1.35871608458354e-268	KIAA0825
1.45302486983666e-272	-0.887450336717387	0.017	0.421	4.87300950597121e-268	GOLGA8B
3.29874272748492e-272	-1.2683059105783	0.018	0.419	1.10629934851662e-267	LINC00513
4.19223246017445e-272	-1.28549594016198	0.05	0.5	1.4059490001687e-267	LCOR
5.59502919184175e-272	-2.30483490142931	0.228	0.706	1.87640494006797e-267	GRM5
1.08849244527931e-271	-1.65157922201243	0.026	0.436	3.65047711373321e-267	AC022639.1
1.48580608636538e-270	2.10311351558288	0.715	0.313	4.98294787184358e-266	VDAC1
5.49855334925866e-270	-1.78381552087241	0.106	0.584	1.84404983674088e-265	AEBP2
8.1177533091802e-270	-2.16114362396156	0.096	0.556	2.72245092729976e-265	CHSY3
5.61323971636149e-269	2.07874664596307	0.739	0.379	1.88251220367615e-264	FBXO2
1.00798981794715e-268	2.34558934520593	0.748	0.379	3.38049545244937e-264	TH
3.04237869665132e-268	-1.69314539643277	0.144	0.637	1.02032254349595e-263	R3HDM1
7.8509288613074e-268	-0.996571470692237	0.023	0.429	2.63296601221666e-263	ANKS6
8.13656762997536e-268	-1.09656341802397	0.017	0.414	2.72876068606484e-263	FAM66D
1.95702716261995e-267	-1.29362000413426	0.041	0.47	6.56328199527853e-263	LINC02389
2.55032988544836e-267	-1.07445042002077	0.02	0.423	8.55304133682816e-263	SLC16A1-AS1
6.08479512687696e-267	-2.25228541148903	0.22	0.701	2.04065774170073e-262	PTPRD
2.22716717254564e-266	-1.36331339063403	0.021	0.42	7.46925054656631e-262	LINC00894
2.23526291523736e-266	-1.10019387782172	0.026	0.435	7.49640123883154e-262	DNMT3A
6.82251475936467e-266	1.92650361178579	0.749	0.393	2.28806677484813e-261	SCOC
1.80411104689791e-264	-1.23897761745017	0.08	0.552	6.05044721798151e-260	SETD5
2.23931783839855e-264	-1.71893880073225	0.014	0.396	7.51000023463722e-260	KCNH7
8.58011040951253e-264	1.99297730692285	0.741	0.412	2.87751162803822e-259	PRKAR1A
1.21472492362636e-263	-1.41496571522487	0.039	0.46	4.07382297636572e-259	ARL15
2.06891693797087e-263	-1.99876617748237	0.092	0.557	6.93852673487291e-259	DPYD
4.80634306016986e-263	-1.28039800280998	0.034	0.451	1.61190327208916e-258	SCLT1
5.76354323073725e-263	-1.36305998058395	0.06	0.503	1.93291949329235e-258	DENND1A
5.97572037251442e-263	-2.33029041327023	0.15	0.624	2.00407734133016e-258	KIF26B
1.14449945231486e-262	-1.57986852892747	0.036	0.453	3.83830781322833e-258	SH3RF3
2.49945054279398e-261	1.94589791748698	0.76	0.413	8.38240728536817e-257	SLC22A17
4.35832275544808e-261	-2.44284068482259	0.569	0.881	1.46165070249462e-256	FGF12
1.13692080678984e-260	-1.55420255230875	0.072	0.522	3.81289130973109e-256	VTI1A
3.63990480329699e-259	1.99456657692615	0.689	0.269	1.22071487388171e-254	RAB3A
8.34244064795308e-259	-1.79179863243394	0.097	0.555	2.79780432010402e-254	JAZF1
5.72932221439515e-258	-2.05360814198278	0.054	0.477	1.9214427910417e-253	GALNT13
2.26700555344927e-257	1.55259367818475	0.828	0.625	7.60285652460281e-253	SCD5
8.92868996816377e-257	1.7969736230434	0.776	0.491	2.99441475462308e-252	SCRN1
1.00052289978238e-256	2.1424340656069	0.668	0.247	3.35545364900016e-252	ATP6AP2
2.06181896161995e-256	1.99246988638316	0.683	0.247	6.91472225158481e-252	SLC25A4
7.61572882438601e-256	-1.39614134144089	0.037	0.447	2.55408697583434e-251	MIPOL1
9.39796597379598e-256	-1.53117093755887	0.085	0.534	3.15179584863196e-251	SHANK2
3.05637141436424e-255	-1.88692228268917	0.128	0.585	1.02501528123534e-250	LRFN5
9.35011752171186e-255	1.92913695431114	0.754	0.447	3.13574891325651e-250	SCG5
1.47089949036431e-254	-1.43596526699233	0.127	0.62	4.9329556208348e-250	MAP7
4.26789626760605e-253	-0.936540981935059	0.076	0.538	1.43132437126704e-248	RSRP1
5.69750646342593e-253	-1.70576513152729	0.036	0.435	1.91077274263916e-248	TTTY14
5.70229721434022e-253	-1.36932397581597	0.033	0.434	1.91237941677328e-248	KIAA1328
6.2863219391471e-253	-1.17165846513661	0.039	0.451	2.10824378873176e-248	ZNF532
2.07791813676331e-252	-2.09578919027343	0.234	0.707	6.96871405526313e-248	AGAP1
2.20469483440138e-252	-1.97636027425016	0.11	0.563	7.39388506613189e-248	CUX2
2.67642661366473e-252	1.89714062315883	0.743	0.412	8.97593193424741e-248	PTPRN
5.33329184448457e-252	1.90561949226818	0.748	0.442	1.78862608588479e-247	SPOCK2
1.11072443680337e-251	-1.46919388358985	0.062	0.493	3.72503654370746e-247	TMEM232
1.53424483609097e-251	-2.13860487995073	0.307	0.765	5.14539690679829e-247	TMEM178B
2.04774317171693e-251	1.85240736189265	0.75	0.406	6.86751627498708e-247	SELENOW
2.78372252283091e-251	1.94310120335482	0.703	0.312	9.33577022481801e-247	ARL6IP5
3.08566118294208e-251	-1.67732897440359	0.149	0.631	1.03483819092328e-246	ZFAND3
7.53655477424487e-251	2.10114437071341	0.698	0.31	2.5275343746385e-246	SYT4
2.39570888341172e-249	1.85407692178213	0.748	0.45	8.0344888822979e-245	G3BP2
9.93615694858327e-249	2.05340420007942	0.702	0.326	3.33228895584637e-244	GOT1
1.15475447463348e-248	1.25561193690807	0.833	0.611	3.8727000815783e-244	SV2C
2.16750916103887e-248	-1.0189042307512	0.11	0.59	7.26917547337607e-244	TRA2A
1.04526049833716e-247	-2.49833642970057	0.226	0.674	3.50549013327332e-243	KCND2
1.12390712900711e-247	-1.29999715790383	0.033	0.426	3.76924733855116e-243	ATXN7L1
1.71636857404216e-247	-0.856889733175757	0.013	0.377	5.75618528676519e-243	DPY19L2
2.69520766994344e-247	-1.20459740625676	0.033	0.429	9.03891796268933e-243	CDKAL1
2.71285110659696e-247	-1.07312236926395	0.056	0.484	9.09808875619422e-243	BICRAL
8.80603111770914e-247	1.8997362085263	0.718	0.355	2.95327865594612e-242	CEND1
1.14924419440021e-246	1.94943436245	0.692	0.292	3.85422025475998e-242	SLC25A3
1.17920041527255e-246	-1.26511525466654	0.065	0.5	3.95468443269954e-242	TNRC6C
1.32255178542231e-246	-1.11671886089734	0.062	0.498	4.43544192277079e-242	PKN2
1.4012145065476e-246	-1.1021362203285	0.033	0.424	4.69925309060869e-242	EML5
3.37042011208004e-246	-1.17414452257122	0.021	0.399	1.13033779298828e-241	NR6A1
7.33669179171268e-246	-1.40421798620843	0.105	0.567	2.46050632618668e-241	ZNF609
8.72883952458201e-245	-1.29328993079786	0.13	0.602	2.92739091135907e-240	EPB41
1.95926851842218e-244	-1.06696437889142	0.036	0.433	6.57079883023246e-240	BICDL1
2.73802969254238e-244	-1.64456664731831	0.05	0.453	9.18253017987938e-240	PHACTR1
4.80958375690856e-244	1.90603719551986	0.719	0.378	1.61299010455442e-239	REEP5
6.45038866387518e-244	2.0791800550703	0.651	0.211	2.16326684620382e-239	RGS4
8.39000340282885e-244	1.82471437239839	0.742	0.376	2.81375544120671e-239	BEX3
1.17924258624696e-243	1.90821314232043	0.691	0.295	3.95482586149643e-239	EEF2
2.65756937955477e-243	-1.68881798225567	0.137	0.601	8.91269042821284e-239	ARID1B
5.05941893335569e-242	-2.07858385776063	0.687	0.906	1.6967773276795e-237	LSAMP
8.0433426457832e-242	-0.926651987580088	0.042	0.449	2.69749582311631e-237	KANTR
1.11269238087888e-241	-1.18649249952088	0.102	0.553	3.73163643775349e-237	GPI
1.26547403617387e-241	-1.4266111101328	0.084	0.523	4.2440202751163e-237	CUX1
1.30939337976584e-241	-3.10858436783659	0.136	0.581	4.39131257772068e-237	RBFOX1
2.22502286790595e-241	-1.31279315098681	0.184	0.67	7.46205919209617e-237	N4BP2L2
7.73005264936831e-241	-1.32236926322458	0.027	0.405	2.59242775701865e-236	FBN1
9.95085356989098e-241	-1.48081277321547	0.045	0.443	3.33721776173434e-236	RALGAPA2
1.26280017439257e-240	1.92505177615757	0.703	0.347	4.23505294486035e-236	PPP2R1A
1.86213436692532e-240	-0.867972756192777	0.013	0.368	6.24504002635746e-236	HIC2
1.91482156590906e-240	-1.12245567770811	0.039	0.436	6.42173708558922e-236	HDAC4
4.16812509105753e-240	-1.24124872175269	0.078	0.514	1.39786411178796e-235	OSBP2
1.07311315834633e-239	-1.94096842236823	0.123	0.57	3.59889959914609e-235	PTPRG
1.14836307463869e-239	1.67193398091183	0.766	0.48	3.85126524341577e-235	MFSD6
1.48839330241367e-239	1.94628609992638	0.668	0.255	4.99162461830472e-235	TPI1
1.93025926490794e-239	-1.27157516507608	0.072	0.501	6.47351049672175e-235	HDAC8
2.15984036521654e-239	-1.14086423631893	0.027	0.405	7.24345663282671e-235	TRERF1
2.82416650344335e-239	-0.881039830894691	0.065	0.499	9.47140720259798e-235	TTC14
